a,b,c,d
0900.HK, 0.09368, 0.35342997, 825641024
0906.HK, 0.08708, 0.052750003, 596908032
0912.HK, 0.10566, 0.037720002, 55328000
0914.HK, 0.23281999, 0.19216, 37444038656
0919.HK, 0.13812, 0.06355, 90852000
0921.HK, 0.2377, 0.03203, 5859201024
0922.HK, 0.10058, 0.26878, 106587000
0934.HK, 0.094060004, 3.82892, 658857984
0935.HK, 0.0809, 0.35237, 128603000
0939.HK, 0.11474, 0.48104998, 739590995968
0941.HK, 0.096429996, 0.1353, 309313994752
0945.HK, 0.13324, 0.12746, 20750999552
0950.HK, 0.73710996, 1.7583901, 393526016
0956.HK, 0.1388, 0.13475001, 4484665344
0960.HK, 0.16048999, 0.108380005, 36729847808
0966.HK, 0.09927, 0.0242, 114200322048
0968.HK, 0.25731, 0.39491, 6284989952
0973.HK, 0.12797, 0.10052, 429511008
0985.HK, 0.68844, 4.91156, 8454000
0990.HK, 0.31711, 0.027880002, 6179274752
0992.HK, 0.3698, 0.022550002, 3783299072
0995.HK, 0.109560005, 0.40428, 2065082368
1029.HK, 0.30444, 0.44771, 63967000
1044.HK, 0.21858999, 0.19587, 4341082112
1049.HK, 0.19073, 0.02898, 239172992
1050.HK, 0.28030002, 0.11441, 218602000
1052.HK, 0.09706, 0.22012, 2928987904
1053.HK, 0.085360005, 0.05895, 519751008
1061.HK, 0.24149999, 0.23851, 451234144
1065.HK, 0.085810006, 0.17202999, 579134016
1066.HK, 0.12561, 0.18154, 2996772096
1070.HK, 0.16405001, 0.059720002, 2811425024
1084.HK, 0.0885, 0.070879996, 9019000
1088.HK, 0.12069, 0.15421, 67788001280
1090.HK, 0.21090001, 0.01611, 476056992
1098.HK, 0.08379, 0.10225, 6730827776
1099.HK, 0.15149, 0.01569, 10982858752
1100.HK, 0.15015, 0.08186, 113043000
1104.HK, 0.16259001, 1.63063, 4096000
1107.HK, 0.11578, 0.04757, 335008992
1108.HK, 0.31647, 0.13532, 428905440
1109.HK, 0.14897999, 0.15151, 11869998080
1112.HK, 0.15002, 0.080340005, 1029241984
1117.HK, 0.10281, 0.1279, 1938648064
1118.HK, 0.11339, 0.03127, 318294016
1126.HK, 0.09393, 0.05614, 199223008
1127.HK, 0.094799995, 0.07596, 239703008
1131.HK, 0.14942001, 0.4232, 39326000
1137.HK, 0.08046, 0.05567, 325471008
1141.HK, 0.16309, 0.51391, 1518600960
1147.HK, 0.11161, 0.0232, 35654000
1153.HK, 0.20593001, 0.10637, 49010000
1157.HK, 0.17893, 0.11545999, 9762983936
1161.HK, 0.15083, 0.08894, 203390000
1171.HK, 0.08213, 0.038599998, 22342723584
1184.HK, 0.31947002, 0.01925, 1098402048
1186.HK, 0.09566, 0.024449999, 32372731904
1208.HK, 0.25413, 0.11509, 2299699968
1209.HK, 0.121190004, 0.120620005, 1102898048
1211.HK, 0.081750005, 0.024500001, 40585842688
1212.HK, 0.15811, 0.27698, 999657984
